year,carrier,carrier_name,airport,airport_name,security_delay,top_five
2006,WN,Southwest Airlines Co.,SAT,"San Antonio, TX: San Antonio International",392,FALSE
2006,AS,Alaska Airlines Inc.,SAN,"San Diego, CA: San Diego International",111,FALSE
2006,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",83,FALSE
2006,MQ,American Eagle Airlines Inc.,SAN,"San Diego, CA: San Diego International",61,FALSE
2006,CO,Continental Air Lines Inc.,SAN,"San Diego, CA: San Diego International",360,FALSE
2006,DL,Delta Air Lines Inc.,SAN,"San Diego, CA: San Diego International",28,FALSE
2006,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",157,FALSE
2006,YV,Mesa Airlines Inc.,SAN,"San Diego, CA: San Diego International",203,FALSE
2006,NW,Northwest Airlines Inc.,SAN,"San Diego, CA: San Diego International",17,FALSE
2006,OO,SkyWest Airlines Inc.,SAN,"San Diego, CA: San Diego International",294,FALSE
2006,WN,Southwest Airlines Co.,SAN,"San Diego, CA: San Diego International",1457,FALSE
2006,US,US Airways Inc.,SAN,"San Diego, CA: San Diego International",167,FALSE
2006,TZ,ATA Airlines d/b/a ATA,SFO,"San Francisco, CA: San Francisco International",120,FALSE
2006,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",404,FALSE
2006,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",440,FALSE
2006,MQ,American Eagle Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",45,FALSE
2006,CO,Continental Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",872,FALSE
2006,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",102,FALSE
2006,F9,Frontier Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",267,FALSE
2006,HA,Hawaiian Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",9,FALSE
2006,YV,Mesa Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",42,FALSE
2006,NW,Northwest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",39,FALSE
2006,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",1939,FALSE
2006,US,US Airways Inc.,SFO,"San Francisco, CA: San Francisco International",310,FALSE
2006,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",159,FALSE
2006,AS,Alaska Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",285,FALSE
2006,AA,American Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",222,FALSE
2006,MQ,American Eagle Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",118,FALSE
2006,CO,Continental Air Lines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",85,FALSE
2006,DL,Delta Air Lines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",22,FALSE
2006,HA,Hawaiian Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",8,FALSE
2006,B6,JetBlue Airways,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",72,FALSE
2006,OO,SkyWest Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",35,FALSE
2006,WN,Southwest Airlines Co.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",1099,FALSE
2006,US,US Airways Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",162,FALSE
2006,TZ,ATA Airlines d/b/a ATA,SJU,"San Juan, PR: Luis Munoz Marin International",24,FALSE
2006,AA,American Airlines Inc.,SJU,"San Juan, PR: Luis Munoz Marin International",1061,FALSE
2006,CO,Continental Air Lines Inc.,SJU,"San Juan, PR: Luis Munoz Marin International",326,FALSE
2006,DL,Delta Air Lines Inc.,SJU,"San Juan, PR: Luis Munoz Marin International",123,FALSE
2006,B6,JetBlue Airways,SJU,"San Juan, PR: Luis Munoz Marin International",111,FALSE
2006,OO,SkyWest Airlines Inc.,SBP,"San Luis Obispo, CA: San Luis County Regional",43,FALSE
2006,AS,Alaska Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",141,FALSE
2006,AQ,Aloha Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",70,FALSE
2006,AA,American Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",29,FALSE
2006,MQ,American Eagle Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",89,FALSE
2006,CO,Continental Air Lines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",259,FALSE
2006,DL,Delta Air Lines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",24,FALSE
2006,YV,Mesa Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",32,FALSE
2006,OO,SkyWest Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",56,FALSE
2006,WN,Southwest Airlines Co.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",793,FALSE
2006,US,US Airways Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",78,FALSE
2006,OO,SkyWest Airlines Inc.,SBA,"Santa Barbara, CA: Santa Barbara Municipal",199,FALSE
2006,OO,SkyWest Airlines Inc.,SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",42,FALSE
